
2022-05-27 at 12:57:12 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 12:57:12 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 12:57:12 | INFO | Capricornus Start Up ....
2022-05-27 at 12:57:12 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 12:57:12 | INFO | Capricornus Starting ....
2022-05-27 at 12:57:12 | INFO | API cache cleared ....
2022-05-27 at 12:57:13 | INFO | Capricornus Started
2022-05-27 at 12:58:09 | INFO | Capricornus Shutting Down ....
2022-05-27 at 12:58:09 | INFO | API cache does not exists ....
2022-05-27 at 15:15:33 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:15:33 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:15:34 | ERROR | Exception at user_login() [Errno 61] Connection refused 
2022-05-27 at 15:15:34 | ERROR | Exception at renew_token() [Errno 61] Connection refused 
2022-05-27 at 15:15:34 | ERROR | Exception at renew_token() [Errno 61] Connection refused 
2022-05-27 at 15:16:26 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:16:26 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:42:26 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:42:26 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:42:26 | INFO | Capricornus Start Up ....
2022-05-27 at 15:42:26 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 15:42:26 | INFO | Init datastore ....
2022-05-27 at 15:42:27 | INFO | Capricornus Starting ....
2022-05-27 at 15:42:27 | INFO | API cache cleared ....
2022-05-27 at 15:42:27 | INFO | Capricornus Started
2022-05-27 at 15:47:10 | INFO | Capricornus Shutting Down ....
2022-05-27 at 15:47:10 | INFO | API cache does not exists ....
2022-05-27 at 15:47:42 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:47:42 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:47:42 | INFO | Capricornus Start Up ....
2022-05-27 at 15:47:42 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 15:47:42 | INFO | Init datastore ....
2022-05-27 at 15:47:43 | INFO | Capricornus Starting ....
2022-05-27 at 15:47:43 | INFO | API cache cleared ....
2022-05-27 at 15:47:43 | INFO | Capricornus Started
2022-05-27 at 15:48:04 | ERROR | Exception at renew_token() [Errno 61] Connection refused 
2022-05-27 at 15:49:19 | INFO | Capricornus Shutting Down ....
2022-05-27 at 15:49:19 | INFO | API cache does not exists ....
2022-05-27 at 15:49:22 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:49:22 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 15:49:23 | INFO | Capricornus Start Up ....
2022-05-27 at 15:49:23 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 15:49:23 | INFO | Init datastore ....
2022-05-27 at 15:49:23 | INFO | Capricornus Starting ....
2022-05-27 at 15:49:23 | INFO | API cache cleared ....
2022-05-27 at 15:49:24 | INFO | Capricornus Started
2022-05-27 at 16:02:19 | INFO | Capricornus Shutting Down ....
2022-05-27 at 16:02:19 | INFO | API cache does not exists ....
2022-05-27 at 16:32:25 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 16:32:25 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 16:32:25 | INFO | Capricornus Start Up ....
2022-05-27 at 16:32:25 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 16:32:25 | INFO | Init datastore ....
2022-05-27 at 16:32:26 | INFO | Capricornus Starting ....
2022-05-27 at 16:32:26 | INFO | API cache cleared ....
2022-05-27 at 16:32:26 | INFO | Capricornus Started
2022-05-27 at 17:33:53 | INFO | Capricornus Shutting Down ....
2022-05-27 at 17:33:53 | INFO | API cache does not exists ....
2022-05-27 at 17:34:31 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 17:34:31 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 17:34:31 | INFO | Capricornus Start Up ....
2022-05-27 at 17:34:31 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 17:34:32 | INFO | Init datastore ....
2022-05-27 at 17:34:32 | INFO | Capricornus Starting ....
2022-05-27 at 17:34:32 | INFO | API cache cleared ....
2022-05-27 at 17:34:32 | INFO | Capricornus Started
2022-05-27 at 18:06:08 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:06:08 | INFO | API cache does not exists ....
2022-05-27 at 18:06:10 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:06:10 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:06:11 | INFO | Capricornus Start Up ....
2022-05-27 at 18:06:11 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:06:11 | INFO | Init datastore ....
2022-05-27 at 18:06:11 | INFO | Capricornus Starting ....
2022-05-27 at 18:06:11 | INFO | API cache cleared ....
2022-05-27 at 18:06:12 | INFO | Capricornus Started
2022-05-27 at 18:06:28 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:06:28 | INFO | API cache does not exists ....
2022-05-27 at 18:06:29 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:06:29 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:06:29 | INFO | Capricornus Start Up ....
2022-05-27 at 18:06:29 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:06:29 | INFO | Init datastore ....
2022-05-27 at 18:06:30 | INFO | Capricornus Starting ....
2022-05-27 at 18:06:30 | INFO | API cache cleared ....
2022-05-27 at 18:06:30 | INFO | Capricornus Started
2022-05-27 at 18:09:56 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:09:56 | INFO | API cache does not exists ....
2022-05-27 at 18:09:58 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:09:58 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:09:58 | INFO | Capricornus Start Up ....
2022-05-27 at 18:09:58 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:09:58 | INFO | Init datastore ....
2022-05-27 at 18:09:59 | INFO | Capricornus Starting ....
2022-05-27 at 18:09:59 | INFO | API cache cleared ....
2022-05-27 at 18:09:59 | INFO | Capricornus Started
2022-05-27 at 18:10:32 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:10:32 | INFO | API cache does not exists ....
2022-05-27 at 18:10:34 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:10:34 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:10:34 | INFO | Capricornus Start Up ....
2022-05-27 at 18:10:34 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:10:34 | INFO | Init datastore ....
2022-05-27 at 18:10:35 | INFO | Capricornus Starting ....
2022-05-27 at 18:10:35 | INFO | API cache cleared ....
2022-05-27 at 18:10:35 | INFO | Capricornus Started
2022-05-27 at 18:12:08 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:12:08 | INFO | API cache does not exists ....
2022-05-27 at 18:12:10 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:12:10 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:12:10 | INFO | Capricornus Start Up ....
2022-05-27 at 18:12:10 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:12:10 | INFO | Init datastore ....
2022-05-27 at 18:12:11 | INFO | Capricornus Starting ....
2022-05-27 at 18:12:11 | INFO | API cache cleared ....
2022-05-27 at 18:12:12 | INFO | Capricornus Started
2022-05-27 at 18:14:12 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:14:12 | INFO | API cache does not exists ....
2022-05-27 at 18:14:13 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:14:13 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:14:14 | INFO | Capricornus Start Up ....
2022-05-27 at 18:14:14 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:14:14 | INFO | Init datastore ....
2022-05-27 at 18:14:14 | INFO | Capricornus Starting ....
2022-05-27 at 18:14:14 | INFO | API cache cleared ....
2022-05-27 at 18:14:14 | INFO | Capricornus Started
2022-05-27 at 18:16:28 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:16:28 | INFO | API cache does not exists ....
2022-05-27 at 18:16:30 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:16:30 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:16:30 | INFO | Capricornus Start Up ....
2022-05-27 at 18:16:30 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:16:30 | INFO | Init datastore ....
2022-05-27 at 18:16:30 | INFO | Capricornus Starting ....
2022-05-27 at 18:16:30 | INFO | API cache cleared ....
2022-05-27 at 18:16:31 | INFO | Capricornus Started
2022-05-27 at 18:17:14 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:17:14 | INFO | API cache does not exists ....
2022-05-27 at 18:17:16 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:17:16 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:17:16 | INFO | Capricornus Start Up ....
2022-05-27 at 18:17:16 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:17:16 | INFO | Init datastore ....
2022-05-27 at 18:17:17 | INFO | Capricornus Starting ....
2022-05-27 at 18:17:17 | INFO | API cache cleared ....
2022-05-27 at 18:17:17 | INFO | Capricornus Started
2022-05-27 at 18:18:30 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:18:30 | INFO | API cache does not exists ....
2022-05-27 at 18:18:32 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:18:32 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:18:32 | INFO | Capricornus Start Up ....
2022-05-27 at 18:18:32 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:18:32 | INFO | Init datastore ....
2022-05-27 at 18:18:32 | INFO | Capricornus Starting ....
2022-05-27 at 18:18:32 | INFO | API cache cleared ....
2022-05-27 at 18:18:33 | INFO | Capricornus Started
2022-05-27 at 18:20:17 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:20:17 | INFO | API cache does not exists ....
2022-05-27 at 18:20:19 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:20:19 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:20:19 | INFO | Capricornus Start Up ....
2022-05-27 at 18:20:19 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:20:19 | INFO | Init datastore ....
2022-05-27 at 18:20:20 | INFO | Capricornus Starting ....
2022-05-27 at 18:20:20 | INFO | API cache cleared ....
2022-05-27 at 18:20:20 | INFO | Capricornus Started
2022-05-27 at 18:21:17 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:21:17 | INFO | API cache does not exists ....
2022-05-27 at 18:21:19 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:21:19 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:21:19 | INFO | Capricornus Start Up ....
2022-05-27 at 18:21:19 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:21:19 | INFO | Init datastore ....
2022-05-27 at 18:21:19 | INFO | Capricornus Starting ....
2022-05-27 at 18:21:19 | INFO | API cache cleared ....
2022-05-27 at 18:21:20 | INFO | Capricornus Started
2022-05-27 at 18:23:43 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:23:43 | INFO | API cache does not exists ....
2022-05-27 at 18:23:45 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:23:45 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:23:45 | INFO | Capricornus Start Up ....
2022-05-27 at 18:23:45 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:23:45 | INFO | Init datastore ....
2022-05-27 at 18:23:46 | INFO | Capricornus Starting ....
2022-05-27 at 18:23:46 | INFO | API cache cleared ....
2022-05-27 at 18:23:46 | INFO | Capricornus Started
2022-05-27 at 18:24:39 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:24:39 | INFO | API cache does not exists ....
2022-05-27 at 18:24:41 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:24:41 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:24:41 | INFO | Capricornus Start Up ....
2022-05-27 at 18:24:41 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:24:41 | INFO | Init datastore ....
2022-05-27 at 18:24:41 | INFO | Capricornus Starting ....
2022-05-27 at 18:24:42 | INFO | API cache cleared ....
2022-05-27 at 18:24:42 | INFO | Capricornus Started
2022-05-27 at 18:25:52 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:25:52 | INFO | API cache does not exists ....
2022-05-27 at 18:25:54 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:25:54 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:25:54 | INFO | Capricornus Start Up ....
2022-05-27 at 18:25:54 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:25:54 | INFO | Init datastore ....
2022-05-27 at 18:25:54 | INFO | Capricornus Starting ....
2022-05-27 at 18:25:54 | INFO | API cache cleared ....
2022-05-27 at 18:25:54 | INFO | Capricornus Started
2022-05-27 at 18:27:59 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:27:59 | INFO | API cache does not exists ....
2022-05-27 at 18:28:01 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:28:01 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:28:01 | INFO | Capricornus Start Up ....
2022-05-27 at 18:28:01 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:28:01 | INFO | Init datastore ....
2022-05-27 at 18:28:01 | INFO | Capricornus Starting ....
2022-05-27 at 18:28:01 | INFO | API cache cleared ....
2022-05-27 at 18:28:02 | INFO | Capricornus Started
2022-05-27 at 18:28:26 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:28:26 | INFO | API cache does not exists ....
2022-05-27 at 18:28:28 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:28:28 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:28:28 | INFO | Capricornus Start Up ....
2022-05-27 at 18:28:28 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:28:28 | INFO | Init datastore ....
2022-05-27 at 18:28:28 | INFO | Capricornus Starting ....
2022-05-27 at 18:28:28 | INFO | API cache cleared ....
2022-05-27 at 18:28:29 | INFO | Capricornus Started
2022-05-27 at 18:29:09 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:29:09 | INFO | API cache does not exists ....
2022-05-27 at 18:29:11 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:29:11 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:29:11 | INFO | Capricornus Start Up ....
2022-05-27 at 18:29:11 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:29:11 | INFO | Init datastore ....
2022-05-27 at 18:29:11 | INFO | Capricornus Starting ....
2022-05-27 at 18:29:11 | INFO | API cache cleared ....
2022-05-27 at 18:29:12 | INFO | Capricornus Started
2022-05-27 at 18:29:53 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:29:53 | INFO | API cache does not exists ....
2022-05-27 at 18:29:55 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:29:55 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:29:55 | INFO | Capricornus Start Up ....
2022-05-27 at 18:29:55 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:29:55 | INFO | Init datastore ....
2022-05-27 at 18:29:56 | INFO | Capricornus Starting ....
2022-05-27 at 18:29:56 | INFO | API cache cleared ....
2022-05-27 at 18:29:56 | INFO | Capricornus Started
2022-05-27 at 18:30:45 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:30:45 | INFO | API cache does not exists ....
2022-05-27 at 18:30:47 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:30:47 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:30:47 | INFO | Capricornus Start Up ....
2022-05-27 at 18:30:47 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:30:47 | INFO | Init datastore ....
2022-05-27 at 18:30:48 | INFO | Capricornus Starting ....
2022-05-27 at 18:30:48 | INFO | API cache cleared ....
2022-05-27 at 18:30:48 | INFO | Capricornus Started
2022-05-27 at 18:31:15 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:31:15 | INFO | API cache does not exists ....
2022-05-27 at 18:31:17 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:31:17 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:31:17 | INFO | Capricornus Start Up ....
2022-05-27 at 18:31:17 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:31:17 | INFO | Init datastore ....
2022-05-27 at 18:31:17 | INFO | Capricornus Starting ....
2022-05-27 at 18:31:17 | INFO | API cache cleared ....
2022-05-27 at 18:31:18 | INFO | Capricornus Started
2022-05-27 at 18:33:08 | INFO | Capricornus Shutting Down ....
2022-05-27 at 18:33:08 | INFO | API cache does not exists ....
2022-05-27 at 18:33:10 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:33:10 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 18:33:10 | INFO | Capricornus Start Up ....
2022-05-27 at 18:33:10 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 18:33:10 | INFO | Init datastore ....
2022-05-27 at 18:33:10 | INFO | Capricornus Starting ....
